Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,JUPHYTES5-Q,JUICE BEAUTY/PHYTO-PIGMENTS CREAM SHADOW STICK (06-BAY) 0.05 OZ/1.3 G, 834893002502, ,22.00,74,5.75
,JUPHYTLS22-Q,JUICE BEAUTY/PHYTO-PIGMENTS LUMINOUS LIP CRAYON (26 HEALDSBURG) 0.10 OZ, 834893009297, ,22.00,78,4.75
,JUPHYTLS14-Q,JUICE BEAUTY/PHYTO-PIGMENTS SATIN LIP CREAM (10 SANTA YNEZ) 0.11 OZ, 834893001956, ,24.00,80,4.75
,JUPHYTLS17-Q,JUICE BEAUTY/PHYTO-PIGMENTS SATIN LIP CREAM (14 NAPA) 0.11 OZ, 834893001963, ,24.00,80,4.75
,LNELW8-Q,LANCOME/LE STYLO WATERPROOF LONG LASTING EYE LINER BURNT SIENNA 0.01 OZ, 3605971035579, ,27.00,46,14.70
,LNCOLOES16-Q,"LANCOME/COLOR DESIGN 5 SHADOW & LINER PALETTE 401 MIDNIGHT RUSH .141 OZ
EYE BRIGHTENING ALL-IN-ONE", 3605975084214, ,50.00,57,21.40
,LNCOLOLS42-Q,"LANCOME/COLOR DESIGN LIPSTICK (300 BITE THE BULLET (MATTE) 0.14 OZ (4 ML) 
SENSATIONAL EFFECT,SMOOTH HOLD", 3605971483547, ,25.00,45,13.70
,LNHYNMA7,LANCOME/HYPNOSE CUSTOM VOLUME MASCARA NOIR HYPNOTIC 01 0.20 OZ, 3614272161788, 161788,27.50,30,19.20
,LNRENEFO42-Q,"LANCOME/RÉNERGIE LIFT MAKEUP FOUNDATION SPF 27 (BISQUE (W) 410) 1.0 OZ
12-HRS OF LIFTING,HYDRATION", 3614272873513, ,52.00,48,27.05
,LNTIDOCN11-Q,"LANCOME/TEINT IDOLE ULTRA WEAR CAMOUFLAGE CONCEALER (435) SUEDE C 0.4 OZ (12 ML
FULL-COVERAGE, LONG WEAR", 3605971282348, +,31.00,48,16.20
,LNTIDOCN13B-Q,"LANCOME/TEINT IDOLE ULTRA WEAR CAMOUFLAGE CONCEALER (555) SUEDE C 0.4 OZ (12 ML 
FULL-COVERAGE, LONG WEAR", 3614272707306, ,31.00,72,8.65
,LNTIDOCN18-Q,"LANCOME/TEINT IDOLE ULTRA WEAR CAMOUFLAGE CONCEALER (BRICK RED) 0.4 OZ (12 ML
FULL-COVERAGE, LONG WEAR", 3605971956676, ,31.00,69,9.75
,LNTIDOCN8-Q,"LANCOME/TEINT IDOLE ULTRA WEAR CAMOUFLAGE CONCEALER (415) BISQUE W 0.4 OZ (12 ML
FULL-COVERAGE, LONG WEAR", 3605971282225, 214506412,31.00,48,16.20
,LNTIDOFO66-Q,"LANCOME/TEINT IDOLE ULTRA 24H LONG WEAR FOUNDATION (555 SUEDE C) 1.0 OZ (30 ML)
SPF 15", 3605970971359, ,47.00,46,25.55
,LASHL6-Q,LASH STAR/VISIONARY LASHES 009, 814650020420, ,28.00,76,6.75
,LASHL7,LASH STAR/VISIONARY LASHES 007, 814650020406, ,28.00,62,10.55
,LASHL9,LASH STAR/VISIONARY LASHES 006, 814650020390, ,28.00,76,6.75
,LAURFOPW5-Q,"LAURA MERCIER/SMOOTH FINISH FOUNDATION POWDER 16 (5C1)  .32 OZ (9.2 ML) 
MEDIUM TO DEEP
COOL UNDERTONES", 736150108814, ,48.00,75,12.20
,LAURFO32-Q,LAURA MERCIER SILK CREME OIL-FREE PHOTO EDITI FOUNDATION (4W1) CHAI 1 OZ, 736150162229, ,49.00,78,10.75
,LAURFO33-Q,LAURA MERCIER SILK CREME OIL-FREE PHOTO EDITI FOUNDATION (5C1) NUTMEG 1 OZ, 736150162243, ,49.00,75,12.20
,LAURFO5-Q,LAURA MERCIER/SMOOTH FINISH FLAWLESS FLUID PRALINE 1 OZ (30 ML), 736150133946, ,48.00,90,4.75
,LAURMOFO5-Q,"LAURA MERCIER/SILK CREME MOISTURIZING (5C1) NUTMEG 1 OZ (30 ML) 
PHOTO FINISH FOUNDATION", 736150162328, ,48.00,87,6.25
,LAURMO14-Q,"LAURA MERCIER/TINTED MOISTURIZER (6W1) MOCHA 1.7 OZ (50 ML)
BROAD SPECTRUM, SPF 20
DEEP, NEUTRAL-WARM UNDERTONE", 736150082367, ,46.00,77,10.75
