Product code,Description,Pack,Size,Measurement,Unit UPC,Category,[TI],[HI],Min Purchase Qty 1,Case Price 1,Unit Price 1,Min Purchase Qty 2,Case Price 2,Unit Price 2,Min Purchase Qty 3,Case Price 3,Unit Price 3,Min Purchase Qty 4,Case Price 4,Unit Price 4
10594,BEECHNUT APPLE/BLUEBERRY,10,4,oz,05220000549, W.I.C. Approved Items,32,12,0,$12.26,$1.23,,,,,,,,,
10596,BEECHNUT BANANA ,10,4,oz,05220000507, W.I.C. Approved Items,32,12,0,$12.26,$1.23,,,,,,,,,
10597,BEECHNUT BANANA /STRAWBERRY,10,4,oz,10052200095130, W.I.C. Approved Items,32,12,0,$12.26,$1.23,,,,,,,,,
10599,BEECHNUT GARDEN VEGETABLE ,10,4,oz,10052200098278, W.I.C. Approved Items,,,0,$12.26,$1.23,,,,,,,,,
10600,BEECHNUT PEACHES,10,4,oz,5220000706, W.I.C. Approved Items,32,12,0,$12.26,$1.23,,,,,,,,,
10601,BEECHNUT PEAR/PINEAPPLE,10,4,oz,05220000811, W.I.C. Approved Items,,,0,$12.26,$1.23,,,,,,,,,
10602,BEECHNUT PEARS ,10,4,oz,05220000705, W.I.C. Approved Items,,,0,$12.26,$1.23,,,,,,,,,
10603,BEECHNUT SQUASH ,10,4,oz,052200007129, W.I.C. Approved Items,,,0,$12.26,$1.23,,,,,,,,,
10604,BEECHNUT SWEET PEA ,10,4,oz,05220000716, W.I.C. Approved Items,,,0,$12.26,$1.23,,,,,,,,,
10605,BEECHNUT SWEET POTATO,10,4,oz,05220000589, W.I.C. Approved Items,32,12,0,$12.26,$1.23,,,,,,,,,
10606,BEET IT ORGANIC BEET JUICE,6,25.4,oz,812616020040,Beverages,,,0,$35.54,$5.92,,,,,,,,,
10607,BENADRYL ,30,2,ct,00312547175531,Health & Beauty Aids,,,0,$13.39,$0.44,,,,,,,,,
10608,BEST BUY LARGE TRASH BAGS 33 GALLON,12,7,ct,072061130071,Kitchen Supplies,16,5,0,$13.47,$1.12,,,,,,,,,
10609,BEST BUY LEAF & GRASS BAGS 40 GALLON,12,5,ct,072061130057,Kitchen Supplies,16,5,0,$13.47,$1.12,,,,,,,,,
10611,BEST BUY TALL KITCHEN BAGS 13 GALLON,12,15,ct,072061122151,Kitchen Supplies,10,8,0,$13.47,$1.12,,,,,,,,,
10612,BEST BUY TRASH BAGS 26 GALLON,12,10,ct,072061121017,Kitchen Supplies,10,8,0,$13.47,$1.12,,,,,,,,,
10613,BEST BUY TRASH BAGS 30 GALLON,12,8,ct,072061130088,Kitchen Supplies,16,5,0,$13.47,$1.12,,,,,,,,,
10617,BIC LIGHTERS LARGE ,50,1,ct,070330644809,Miscellaneous Non Food,6,4,0,$51.50,$1.03,,,,,,,,,
10618,BIC LIGHTERS MINI,50,1,ct,070330000025,Miscellaneous Non Food,,,0,$44.29,$0.89,,,,,,,,,
10620,BIG HUG BLUE RASBERRY ,24,16,oz,074806001615,Beverages,9,7,0,$10.20,$0.42,,,,,,,,,
10622,BIG HUG FRUIT PUNCH ,24,16,oz,074806001608,Beverages,9,7,0,$10.20,$0.42,,,,,,,,,
10623,BIG HUG GRAPE ,24,16,oz,074806001592,Beverages,9,7,0,$10.20,$0.42,,,,,,,,,
10624,BIG HUG KIWI STRAWBERRY,24,16,oz,074806001622,Beverages,9,7,0,$10.20,$0.42,,,,,,,,,
10625,BIG HUG ORANGE ,24,16,oz,074806001585,Beverages,9,7,0,$10.20,$0.42,,,,,,,,,
10626,BIG LEAGUE CHEW BLUE RASPBERRY GUM,12,2,oz,042897960241,Candy,,,0,$14.83,$1.24,,,,,,,,,
10628,BIG LEAGUE CHEW GRAPE GUM,12,2,oz,042897660011,Candy,,,0,$14.83,$1.24,,,,,,,,,
10629,BIG LEAGUE CHEW ORIGINAL GUM,12,2,oz,042897660004,Candy,,,0,$14.83,$1.24,,,,,,,,,
16728,BIG LEAGUE CHEW SLAMMIN STRAWBERRY,12,2,oz,042897959849,Candy,,,0,$14.83,$1.24,,,,,,,,,
15326,BIG LEAGUE CHEW SOUR APPLE GUM,12,2,oz,042897660028 ,Candy,,,0,$14.83,$1.24,,,,,,,,,
10631,BIG MAMA SAUSAGE ,12,2.4,oz,026200392950,Snack Items,16,6,0,$17.92,$1.49,,,,,,,,,
10632,BIG SLICE POPS BLUE RASBERRY,1,48,ct,072084078558,Candy,,,0,$7.21,$7.21,,,,,,,,,
10633,BIG SLICE POPS CHERRY,1,48,ct,072084078541,Candy,,,0,$7.21,$7.21,,,,,,,,,
10634,BIG SLICE POPS GREEN APPLE,1,48,ct,072084078527,Candy,,,0,$7.21,$7.21,,,,,,,,,
10635,BIG SLICE POPS STRAWBERRY,1,48,ct,072084078565,Candy,,,0,$7.21,$7.21,,,,,,,,,
10636,BIG SLICE POPS WATERMELON,1,48,ct,072084078510,Candy,,,0,$7.21,$7.21,,,,,,,,,
10637,BIGS SEEDS HIDDEN VALLEY RANCH,12,5.35,oz,0896887002233,Snack Items,20,6,0,$24.60,$2.05,,,,,,,,,
10638,BIGS SEEDS ORIGINAL SALTED,12,5.35,oz,0896887002196,Snack Items,20,6,0,$24.60,$2.05,,,,,,,,,
10639,BIGS SUNFLOWER SEEDS DILL PICKLE,12,5.35,oz,896887002202,Snack Items,20,6,0,$24.60,$2.05,,,,,,,,,
10640,BIGS SUNFLOWER SEEDS FRANK'S RED HOT BUFFALO WING,12,5.35,oz,0896887002226,Snack Items,20,6,0,$24.60,$2.05,,,,,,,,,
10642,BIGS SUNFLOWER SEEDS SEA SALT & CRACKED PEPPER,12,5.35,oz,896887002943,Snack Items,20,6,0,$24.60,$2.05,,,,,,,,,
10647,BIRTHDAY CANDLE NUMBER #0,1,1,ct,735852969136,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10648,BIRTHDAY CANDLE NUMBER #1,1,1,ct,735852969006,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10649,BIRTHDAY CANDLE NUMBER #2,1,1,ct,735852969013,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10650,BIRTHDAY CANDLE NUMBER #3,1,1,ct,735852969020,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10651,BIRTHDAY CANDLE NUMBER #4 ,1,1,ct,735852969037,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10652,BIRTHDAY CANDLE NUMBER #5 ,1,1,ct,735852969044,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10653,BIRTHDAY CANDLE NUMBER #6 ,1,1,ct,735852969051,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10654,BIRTHDAY CANDLE NUMBER #7 ,1,1,ct,735852969105,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10655,BIRTHDAY CANDLE NUMBER #8 ,1,1,ct,735852969112,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
10656,BIRTHDAY CANDLE NUMBER #9 ,1,1,ct,735852969129,Miscellaneous Non Food,,,0,$1.18,$1.18,,,,,,,,,
16278,BIRTHDAY CANDLES BLUE SPIRAL PF-8126,1,24,ct,735852981268,Miscellaneous Non Food,,,0,$0.77,$0.77,,,,,,,,,
10658,BISQUICK ,12,20,oz,016000420601,Breakfast,16,6,0,$43.14,$3.59,,,,,,,,,
10660,BLANCA NIEVES,18,2,lb,012005448831,Hispanic Non Food ,9,3,0,$41.72,$2.32,,,,,,,,,
10661,BLANCA NIEVES ,10,4,lb,012005448848,Hispanic Non Food ,9,3,0,$47.28,$4.73,,,,,,,,,
10662,BLANCA NIEVES LIQUID ,12,1,L,012005448855,Hispanic Non Food ,12,5,0,$27.07,$2.26,,,,,,,,,
10664,BLANK BURST SIGN 2 X 3,1,100,ct,705856600403,Miscellaneous Non Food,,,0,$7.21,$7.21,,,,,,,,,
10665,BLANK BURST SIGN 7 X 11,1,100,ct,705856600700,Miscellaneous Non Food,,,0,$20.60,$20.60,,,,,,,,,
10666,BLANK BURST SIGN 7 X 5,1,100,ct,70585660060,Miscellaneous Non Food,,,0,$12.36,$12.36,,,,,,,,,
10667,BLANK BURST SIGNS 3 X 5,1,100,ct,705856600502,Miscellaneous Non Food,,,0,$8.24,$8.24,,,,,,,,,
10669,BLUE RIBBON RICE,18,2,lb,071771015029,"Pastas, Rice & Grains",13,4,0,$25.96,$1.44,,,,,,,,,
10670,BLUE RIBBON RICE,8,5,lb,071771015050,"Pastas, Rice & Grains",9,5,0,$27.60,$3.45,,,,,,,,,
16518,BOBBO GUM BALL MACHINE,12,30,gm,8683813355011,Candy,,,0,$17.92,$1.49,,,,,,,,,
10672,BOING GLASS GUAVA,24,12,oz,019836400038,Hispanic Beverages,12,5,0,$34.36,$1.43,12,$31.89,$1.33,,,,,,
