Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,SHWASOMK1-Q,SHISEIDO/WASO PURIFYING PEEL OFF MASK 3.3 OZ (100 ML), 729238149366, 14936,32.00,73,8.70
,SHWHLUMO1-Q,SHISEIDO/WHITE LUCENT ALL DAY BRIGHTENER MOISTURIZER 1.8 OZ (50 ML), 730852134843, 13484,62.00,69,19.40
,SHWHLUSR3,SHISEIDO/WHITE LUCENT ILLUMINATING MICRO SPOT SERUM 1.0 OZ (30 ML), 730852160439, 16043,135.00,45,73.60
,LNDUO26-D,"GENIFIQUE/LANCOME SET DAMAGED (M)
GENIFIQUE ANTI AGING SERUM CONCENTRATE 1.7 OZ   X2", 3605972351203, ,172.00,35,111.46
,KLMG1,KLAPP MEN WASH & SHAVE 2-IN-1 FOAM GEL 3.4 OZ (100 ML), 4250094975043, 4359,60.00,41,35.60
,SHMCR1B-Q,"SHISEIDO/SHISEIDO MEN TOTAL REVITALIZER EYE .53 OZ (15 ML)
ANTI-WRINKLE- ANTI BAGS", 729238143838, 14383,48.00,63,17.70
,AUBM2,"AUBUSSON GROOMING ADVANCED BEARD KIT SYSTEM/AUBUSSON SET (M)
MAN. AUBUSSON SHAVE GEL 3.4 OZ
MAN. AUBUSSON BEARD OIL 1.0 OZ
MAN. AUBUSSON BODY WASH GEL 4.2 OZ
MAN. AUBUSSON COMB", 849017006465, 04X1002,45.00,86,6.50
,BARE39-Q,"BAREMINERALS/TREAT YOURSELF 3-PIECE ALL ABOUT YOU KIT
GEN NUDE PATENT LIP LACQUER CANT EVEN UNBOXED  0.12 OZ
BARE HAVEN MOISTURIZING SOFT CREAM UNBOXED 1 OZ
SKINLONGEVITY VITAL POWER INFUSION UNBOXED 0.25 OZ
IN BOX", 098132559541, ,30.00,91,2.75
,CP1-Q,"CLE DE PEAU BEAUTE/MICRO-REFINING TREATMENT
MICRO-REFINING EXFOLIATOR 1.5 OZ
SOOTHING MOISTURE SHEET MASKS", 729238306479, ,200.00,44,112.26
,EAEIHO2,"ELIZABETH ARDEN/EIGHT HOUR CREAM SET
EIGHT HOUR SKIN PROTECTANT 1.7 OZ
EIGHT HOUR CREAM INTENSIVE MOISTURIZING  HAND TREATMENT 1.0 OZ
EIGHT HOUR CREAM LIP BALM STICK .13 OZ", 085805193652, ,58.50,67,19.20
